,title,release_date,director,writers,actors,genres,plot_keywords,plot_summary,tag_lines,production_company,primary_language,runtime,color,country,sound_mix,meta_score,user_rating,budget,opening_weekend_date,opening_weekend_revenue,gross_revenue_date,gross_revenue,id,open_week_rev_currency,Date_weekend,Date_GrossRev,Date_released
0,The Accountant,14October2016,Gavin O'Connor, ,Ben Affleck;Anna Kendrick;J.K. Simmons, Action; Crime; Drama; Thriller,numbers;accountant;middle finger;raised middle finger;pc,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Calculate your choices.,Warner Bros.;Electric City Entertainment;RatPac-Dune Entertainment,English,128 min,Color,USA,Dolby Digital,51,7.8,44000000.0,14October2016,24710273.0,25October2016,50370609.0,1,dollar,2016-10-14,2016-10-25,2016-10-14
1,The Girl on the Train,7October2016,Tate Taylor,Erin Cressida Wilson;Paula Hawkins,Emily Blunt;Haley Bennett;Rebecca Ferguson, Mystery; Thriller,train;divorcee;alcoholic;surprise ending;female rear nudity,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Based on the thriller that shocked the world,Amblin Entertainment;DreamWorks SKG;Marc Platt Productions,English,112 min,Color,USA,Dolby Digital,48,6.7,45000000.0,7October2016,24536265.0,25October2016,60309300.0,2,dollar,2016-10-07,2016-10-25,2016-10-07
3,Suicide Squad,5August2016,David Ayer, ,Will Smith;Jared Leto;Margot Robbie, Action; Adventure; Fantasy; Sci-Fi,critically bashed;based on comic book;super villain;father daughter relationship;reference to superman,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Justice has a bad side.,Atlas Entertainment;DC Comics;DC Entertainment,English,123 min,Color,USA,Datasat;Dolby Digital;Dolby Atmos,40,6.6,175000000.0,5August2016,133682248.0,21October2016,324271174.0,4,dollar,2016-08-05,2016-10-21,2016-08-05
4,Don't Breathe,26August2016,Fede Alvarez,Fede Alvarez;Rodo Sayagues,Stephen Lang;Jane Levy;Dylan Minnette, Crime; Horror; Thriller,trapped in a house;blind man;robbery gone awry;suspense;falling from height,"Hoping to walk away with a massive cash, a trio of thieves break into the house of a sick man who isn't as helpless as he seems.",This house looked like an easy target. Until they found what was inside.,Screen Gems;Stage 6 Films;Ghost House Pictures,English,88 min,Color,USA, , ,7.4,9900000.0,26August2016,26411706.0,21October2016,88577905.0,5,dollar,2016-08-26,2016-10-21,2016-08-26
5,Miss Peregrine's Home for Peculiar Children,30September2016,Tim Burton,Ransom Riggs;Jane Goldman,Eva Green;Asa Butterfield;Samuel L. Jackson, Adventure; Drama; Family; Fantasy,multiple identities;superhuman strength;eating eye;eye;time loop,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Stay peculiar,Twentieth Century Fox Film Corporation;Chernin Entertainment;Scope Pictures,English,127 min,Color,USA,Dolby Atmos,57,7.1,110000000.0,30September2016,28871140.0,25October2016,75189531.0,6,dollar,2016-09-30,2016-10-25,2016-09-30
6,Captain Fantastic,29July2016,Matt Ross, ,Viggo Mortensen;George MacKay;Samantha Isler, Comedy; Drama; Romance,male frontal nudity;male full frontal nudity;suicide;male pubic hair;male nudity,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Family values. Power to the people. Stick it to the man.,Electric City Entertainment;Post Haste Digital;ShivHans Pictures,English,118 min,Color,USA, , ,8.0,,8July2016,93824.0,21October2016,5875006.0,7,dollar,2016-07-08,2016-10-21,2016-07-29
7,Keeping Up with the Joneses,21October2016,Greg Mottola, ,Zach Galifianakis;Isla Fisher;Jon Hamm, Action; Comedy,tied feet,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,License to kill. License to chill.,Fox 2000 Pictures;Parkes+MacDonald Image Nation,English,105 min,Color,USA, , ,5.8,,21October2016,5461475.0,25October2016,6530470.0,8,dollar,2016-10-21,2016-10-25,2016-10-21
8,Sausage Party,12August2016, ,Kyle Hunter;Ariel Shaffir,Seth Rogen;Kristen Wiig;Jonah Hill, Animation; Adventure; Comedy; Fantasy,adult animation;musical number;sex scene;orgy;adult humor,A sausage strives to discover the truth about his existence.,Wrap that ass,Annapurna Pictures;Columbia Pictures;Point Grey Pictures,English,89 min,Color,USA,Dolby Digital;Dolby Atmos;Auro 11.1;Dolby Surround 7.1;12-Track Digital Sound;DTS, ,6.6,19000000.0,12August2016,34263534.0,21October2016,97636799.0,9,dollar,2016-08-12,2016-10-21,2016-08-12
9,Ghostbusters,15July2016,Paul Feig,Katie Dippold;Paul Feig,Melissa McCarthy;Kristen Wiig;Kate McKinnon, Action; Comedy; Fantasy; Sci-Fi,reboot;ghost;vomiting;ghostbusters;feminism,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Answer the call,Columbia Pictures;LStar Capital;Village Roadshow Pictures,English,116 min,Color,USA,Datasat;Dolby Digital;Dolby Atmos;Auro 11.1;12-Track Digital Sound,60,5.4,144000000.0,15July2016,46018755.0,21October2016,128254492.0,10,dollar,2016-07-15,2016-10-21,2016-07-15
10,Star Trek Beyond,22July2016,Justin Lin,Simon Pegg;Doug Jung,Chris Pine;Zachary Quinto;Karl Urban, Action; Adventure; Sci-Fi; Thriller,star trek;third part;stranded;sequel;hatred,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",,Paramount Pictures;Skydance Productions;Alibaba Pictures Group,English,122 min,Color,USA,Dolby Atmos, ,7.2,185000000.0,22July2016,59253211.0,14October2016,158804470.0,11,dollar,2016-07-22,2016-10-14,2016-07-22
